Forcing tensorflow/CPU backend.
iter: 2500; timecost: 128.9164; loss: 0.0071
iter: 2520; timecost: 129.3565; loss: 0.0068
iter: 2540; timecost: 129.6443; loss: 0.0064
iter: 2560; timecost: 128.3925; loss: 0.0053
iter: 2580; timecost: 131.1102; loss: 0.0061
iter: 2600; timecost: 131.7686; loss: 0.0062
iter: 2620; timecost: 129.2809; loss: 0.0057
iter: 2640; timecost: 130.6256; loss: 0.0063
iter: 2660; timecost: 130.5450; loss: 0.0059
iter: 2680; timecost: 131.7536; loss: 0.0059
iter: 2700; timecost: 129.3722; loss: 0.0061
iter: 2720; timecost: 131.7774; loss: 0.0064
iter: 2740; timecost: 130.7892; loss: 0.0063
iter: 2760; timecost: 128.6655; loss: 0.0052
iter: 2780; timecost: 129.1541; loss: 0.0054
iter: 2800; timecost: 130.1547; loss: 0.0060
iter: 2820; timecost: 130.6436; loss: 0.0064
iter: 2840; timecost: 130.9765; loss: 0.0049
iter: 2860; timecost: 128.5050; loss: 0.0060
iter: 2880; timecost: 129.9116; loss: 0.0060
iter: 2900; timecost: 130.8769; loss: 0.0056
iter: 2920; timecost: 131.4606; loss: 0.0060
iter: 2940; timecost: 130.3956; loss: 0.0049
iter: 2960; timecost: 129.5450; loss: 0.0063
iter: 2980; timecost: 127.2183; loss: 0.0052
iter: 3000; timecost: 130.2267; loss: 0.0057
iter: 3020; timecost: 130.1471; loss: 0.0052
iter: 3040; timecost: 131.3689; loss: 0.0062
iter: 3060; timecost: 130.0007; loss: 0.0057
iter: 3080; timecost: 130.8578; loss: 0.0050
iter: 3100; timecost: 127.8089; loss: 0.0052
iter: 3120; timecost: 131.4955; loss: 0.0049
iter: 3140; timecost: 130.4538; loss: 0.0048
iter: 3160; timecost: 129.3045; loss: 0.0060
iter: 3180; timecost: 130.8756; loss: 0.0055
iter: 3200; timecost: 131.3112; loss: 0.0043
iter: 3220; timecost: 132.2509; loss: 0.0057
iter: 3240; timecost: 129.5050; loss: 0.0048
iter: 3260; timecost: 131.2283; loss: 0.0052
iter: 3280; timecost: 130.0831; loss: 0.0054
iter: 3300; timecost: 129.3902; loss: 0.0053
iter: 3320; timecost: 128.5747; loss: 0.0047
iter: 3340; timecost: 128.8734; loss: 0.0054
iter: 3360; timecost: 128.3523; loss: 0.0043
iter: 3380; timecost: 127.3642; loss: 0.0053
iter: 3400; timecost: 129.3543; loss: 0.0045
iter: 3420; timecost: 130.2400; loss: 0.0048
iter: 3440; timecost: 129.8976; loss: 0.0053
iter: 3460; timecost: 129.9836; loss: 0.0046
iter: 3480; timecost: 129.2717; loss: 0.0061
iter: 3500; timecost: 129.5676; loss: 0.0045
iter: 3520; timecost: 130.9394; loss: 0.0043
