with cuda device
with update rate: 0.1
step: 1140; accuracy: 0.4870; test_accuracy: 0.4912, loss: 17.9308; beta: 62.2651, amino: 17.8685
step: 1160; accuracy: 0.4801; test_accuracy: 0.4961, loss: 18.0891; beta: 62.0289, amino: 18.0271
step: 1180; accuracy: 0.4962; test_accuracy: 0.5145, loss: 17.4014; beta: 61.6505, amino: 17.3398
step: 1200; accuracy: 0.5090; test_accuracy: 0.5226, loss: 17.0510; beta: 62.2785, amino: 16.9887
step: 1220; accuracy: 0.5011; test_accuracy: 0.5039, loss: 17.5228; beta: 61.7356, amino: 17.4610
step: 1240; accuracy: 0.4978; test_accuracy: 0.4729, loss: 17.4330; beta: 62.0717, amino: 17.3710
step: 1260; accuracy: 0.5000; test_accuracy: 0.4890, loss: 17.3338; beta: 61.6895, amino: 17.2721
step: 1280; accuracy: 0.4908; test_accuracy: 0.5002, loss: 18.0087; beta: 61.7175, amino: 17.9470
step: 1300; accuracy: 0.4983; test_accuracy: 0.5010, loss: 17.6403; beta: 62.1967, amino: 17.5781
step: 1320; accuracy: 0.4952; test_accuracy: 0.5034, loss: 17.8906; beta: 62.4148, amino: 17.8282
step: 1340; accuracy: 0.5031; test_accuracy: 0.5253, loss: 17.3737; beta: 62.6161, amino: 17.3111
step: 1360; accuracy: 0.5074; test_accuracy: 0.4956, loss: 17.1025; beta: 63.0629, amino: 17.0394
step: 1380; accuracy: 0.5015; test_accuracy: 0.4943, loss: 17.4226; beta: 62.2029, amino: 17.3604
step: 1400; accuracy: 0.5041; test_accuracy: 0.4941, loss: 17.1996; beta: 61.6045, amino: 17.1380
step: 1420; accuracy: 0.5088; test_accuracy: 0.5253, loss: 16.9728; beta: 61.4289, amino: 16.9113
step: 1440; accuracy: 0.5175; test_accuracy: 0.5003, loss: 16.6153; beta: 60.9259, amino: 16.5543
step: 1460; accuracy: 0.5087; test_accuracy: 0.5209, loss: 17.0773; beta: 60.5357, amino: 17.0167
step: 1480; accuracy: 0.5055; test_accuracy: 0.5168, loss: 17.2167; beta: 60.4918, amino: 17.1562
step: 1500; accuracy: 0.5066; test_accuracy: 0.4943, loss: 17.3912; beta: 60.8363, amino: 17.3304
step: 1520; accuracy: 0.5004; test_accuracy: 0.5311, loss: 17.4273; beta: 60.3804, amino: 17.3669
step: 1540; accuracy: 0.5175; test_accuracy: 0.4851, loss: 16.7435; beta: 60.8185, amino: 16.6827
step: 1560; accuracy: 0.5092; test_accuracy: 0.4739, loss: 16.9946; beta: 61.5099, amino: 16.9331
step: 1580; accuracy: 0.5086; test_accuracy: 0.5114, loss: 16.9478; beta: 60.9110, amino: 16.8869
step: 1600; accuracy: 0.5286; test_accuracy: 0.5535, loss: 16.2007; beta: 60.1750, amino: 16.1405
step: 1620; accuracy: 0.5220; test_accuracy: 0.5256, loss: 16.5685; beta: 60.9421, amino: 16.5076
step: 1640; accuracy: 0.5314; test_accuracy: 0.5121, loss: 16.0983; beta: 60.7203, amino: 16.0376
step: 1660; accuracy: 0.5160; test_accuracy: 0.5193, loss: 16.8050; beta: 60.7265, amino: 16.7443
step: 1680; accuracy: 0.5260; test_accuracy: 0.5339, loss: 16.6840; beta: 61.1073, amino: 16.6229
step: 1700; accuracy: 0.5170; test_accuracy: 0.5043, loss: 16.8125; beta: 60.3825, amino: 16.7521
step: 1720; accuracy: 0.5240; test_accuracy: 0.5152, loss: 16.4934; beta: 60.3756, amino: 16.4331
step: 1740; accuracy: 0.5249; test_accuracy: 0.5385, loss: 16.4370; beta: 60.4477, amino: 16.3766
step: 1760; accuracy: 0.5197; test_accuracy: 0.5082, loss: 16.8512; beta: 60.4705, amino: 16.7908
step: 1780; accuracy: 0.5141; test_accuracy: 0.5519, loss: 16.7798; beta: 60.7476, amino: 16.7190
step: 1800; accuracy: 0.5295; test_accuracy: 0.5138, loss: 16.3141; beta: 60.5122, amino: 16.2536
step: 1820; accuracy: 0.5180; test_accuracy: 0.5242, loss: 16.6285; beta: 60.2781, amino: 16.5682
step: 1840; accuracy: 0.5255; test_accuracy: 0.5492, loss: 16.4465; beta: 60.6762, amino: 16.3858
step: 1860; accuracy: 0.5456; test_accuracy: 0.5256, loss: 15.6709; beta: 60.2728, amino: 15.6107
step: 1880; accuracy: 0.5246; test_accuracy: 0.5318, loss: 16.5227; beta: 60.1364, amino: 16.4626
step: 1900; accuracy: 0.5309; test_accuracy: 0.5209, loss: 16.1386; beta: 60.0914, amino: 16.0785
step: 1920; accuracy: 0.5348; test_accuracy: 0.5061, loss: 16.0135; beta: 60.8858, amino: 15.9526
step: 1940; accuracy: 0.5319; test_accuracy: 0.5215, loss: 16.0729; beta: 60.5976, amino: 16.0123
step: 1960; accuracy: 0.5352; test_accuracy: 0.5392, loss: 15.9009; beta: 60.1556, amino: 15.8408
step: 1980; accuracy: 0.5299; test_accuracy: 0.5196, loss: 16.5170; beta: 60.4570, amino: 16.4565
step: 2000; accuracy: 0.5306; test_accuracy: 0.5428, loss: 16.2752; beta: 60.5626, amino: 16.2146
step: 2020; accuracy: 0.5303; test_accuracy: 0.5203, loss: 16.1434; beta: 60.0969, amino: 16.0833
step: 2040; accuracy: 0.5317; test_accuracy: 0.5373, loss: 16.1257; beta: 59.2528, amino: 16.0664
step: 2060; accuracy: 0.5309; test_accuracy: 0.5360, loss: 16.2634; beta: 59.6394, amino: 16.2038
step: 2080; accuracy: 0.5374; test_accuracy: 0.5293, loss: 16.0086; beta: 60.2130, amino: 15.9484
step: 2100; accuracy: 0.5412; test_accuracy: 0.5382, loss: 15.7873; beta: 59.9561, amino: 15.7273
step: 2120; accuracy: 0.5313; test_accuracy: 0.5226, loss: 16.2349; beta: 60.0547, amino: 16.1748
step: 2140; accuracy: 0.5377; test_accuracy: 0.5208, loss: 15.9687; beta: 59.8669, amino: 15.9088
step: 2160; accuracy: 0.5347; test_accuracy: 0.5612, loss: 16.1958; beta: 60.1222, amino: 16.1357
step: 2180; accuracy: 0.5365; test_accuracy: 0.5386, loss: 16.0159; beta: 60.0037, amino: 15.9559
step: 2200; accuracy: 0.5391; test_accuracy: 0.5348, loss: 15.8572; beta: 60.2203, amino: 15.7970
step: 2220; accuracy: 0.5390; test_accuracy: 0.5445, loss: 15.8999; beta: 59.2956, amino: 15.8406
step: 2240; accuracy: 0.5398; test_accuracy: 0.5571, loss: 15.8848; beta: 59.5264, amino: 15.8253
step: 2260; accuracy: 0.5367; test_accuracy: 0.5171, loss: 15.9511; beta: 59.8854, amino: 15.8912
step: 2280; accuracy: 0.5447; test_accuracy: 0.5639, loss: 15.6069; beta: 59.9317, amino: 15.5470
step: 2300; accuracy: 0.5456; test_accuracy: 0.5254, loss: 15.6101; beta: 59.4043, amino: 15.5507
step: 2320; accuracy: 0.5408; test_accuracy: 0.5536, loss: 15.9248; beta: 59.6835, amino: 15.8652
step: 2340; accuracy: 0.5466; test_accuracy: 0.5427, loss: 15.5932; beta: 59.7910, amino: 15.5334
step: 2360; accuracy: 0.5448; test_accuracy: 0.5441, loss: 15.7803; beta: 59.7997, amino: 15.7205
step: 2380; accuracy: 0.5430; test_accuracy: 0.5523, loss: 15.8034; beta: 59.3387, amino: 15.7441
step: 2400; accuracy: 0.5595; test_accuracy: 0.5503, loss: 14.9751; beta: 59.5951, amino: 14.9155
step: 2420; accuracy: 0.5422; test_accuracy: 0.5498, loss: 15.6791; beta: 59.9507, amino: 15.6192
step: 2440; accuracy: 0.5515; test_accuracy: 0.5491, loss: 15.3051; beta: 60.2419, amino: 15.2449
step: 2460; accuracy: 0.5491; test_accuracy: 0.5464, loss: 15.4854; beta: 59.6657, amino: 15.4257
step: 2480; accuracy: 0.5490; test_accuracy: 0.5421, loss: 15.5319; beta: 59.4951, amino: 15.4724
